keyword;page;sku_name;price;sold;gmv_estimation
Matoa;3;Buah Rambutan Manis Segar Fresh Enak Nikmat Toko Buah Termurah 500gr;9950;100;995000
Matoa;3;BUY 1 GET 1 King Fruit Durian Premium Super Montong Duren;230000;1000;230000000
Matoa;3;Bonssai Sianci Kecut Program Batang Meliuk-liuk.;230000;2;460000
Matoa;3;bibit pohon buah matoa;15500;30;465000
Matoa;3;BIBIT TANAMAN MATOA UNGGUL/ POHON BUAH MATOA TINGGI 80CM UP;25000;2;50000
Matoa;3;pohon matoa ukuran 1meter;65000;28;1820000
Matoa;3;pohon matoa tinggi 2 meter;300000;2;600000
Matoa;3;Matoa (Asli Papua) -/+ 500 Gr / Pack Fresh Pometia Pinnata Buah Segar;42875;4;171500
Matoa;3;buah matoa fresh 1 kg;40000;0;0
Matoa;3;BUAH MATOA TIGA RASA PREMIUM FRESH;100000;100;10000000
Matoa;3;buah matoa 1 kg|buah matoa papua|buah papua|buah matoa manis;64900;12;778800
Matoa;3;pohon matoa tinggi 2 meter;300000;2;600000
Matoa;3;Bibit Unggul Kelengkeng Matoa Bibit Tanaman;15000;16;240000
Matoa;3;Bibit buah matoa ( biji buah matoa );2000;80;160000
Matoa;3;TERLARISSS 6 KG BUAH MATOA MANIS UNIK RASA UNIK;65000;30;1950000
Matoa;3;BIBIT POHON MATOA SUPER UNGGUL;45000;0;0
Matoa;3;Bibit Tanaman Buah Matoa Papeda Genjah;22000;1;22000
Matoa;3;Bibit Pohon Matoa - Buah Mirip Kelengkeng Aroma Durian - Khas Papua;20000;30;600000
Matoa;3;Buah Matoa Segar (pack);88800;11;976800
Matoa;3;Bibit Tanaman Buah Matoa Merah Cangkok-Pohon Matoa Merah Hasil Cangkok;35000;4;140000
Matoa;3;HARGA DI BANTING Terlaris KWALITAS TERBAIK Bibit Tanaman Buah Matoa;21000;0;0
Matoa;3;TERLARISSS BUAH MATOA ASLI PAPUA SUPER PILIHAN;65000;40;2600000
Matoa;3;Bibit Tanaman Matoa Super Unggul;5000;2;10000
Matoa;3;Buah Matoa Asli Papua -+ 700 grm;72900;2;145800
Matoa;3;buah matoa500gram|buah matoa manis|buah segar|bandung;37500;10;375000
Matoa;3;TERLARISSS 5 KG BUAH MATOA ASLI PAPUA TIGA RASA BUAH DALAM SATU BUAH;65000;0;0
Matoa;3;Promo Bibit Tanaman Matoa Super Unggul Cepat Berbuah Buah Matoa Best;143000;0;0
Matoa;3;Bibit Tanaman Buah Matoa Pohon Buah Matoa;15000;0;0
Matoa;3;bibit tanaman buah matoa cepat berbuah manis;40000;0;0
Matoa;3;bibit pohon matoa 70cm up / lengkeng irian buah matoa;35000;21;735000
Matoa;3;bibit tanaman matoa ;15000;8;120000
Matoa;3;bibit pohon buah matoa unggul;12000;0;0
Matoa;3;Bibit Tanaman Matoa cepat berbuah Termurah;9000;3;27000
Matoa;3;buah matoa rasa durian fres harga per mika;17000;2;34000
Matoa;3;HARGA PROMO Bibit Tanaman Buah Matoa Kelapa Unggul Agro Wisatani;29000;1;29000
